"mov,mp4,m4a,3gp,3g2,mj2",45.651,30.0,h264,640x480,aac,12,796,557,"hls,applehttp",12.0,h264,640x480,aac,13.077381134033203
"mov,mp4,m4a,3gp,3g2,mj2",33.484,29.97002997002997,h264,640x480,aac,12,62,927,"hls,applehttp",24.0,h264,1920x1080,aac,88.63966202735901
"mov,mp4,m4a,3gp,3g2,mj2",573.348,29.97002997002997,h264,480x360,aac,159,872,16149,"hls,applehttp",15.0,h264,1280x720,aac,534.3042769432068
"mov,mp4,m4a,3gp,3g2,mj2",114.637,23.97442727757059,h264,640x480,aac,24,1609,1113,"hls,applehttp",25.0,h264,1920x1080,aac,228.91432309150696
"mov,mp4,m4a,3gp,3g2,mj2",174.777,25.0,h264,480x360,aac,68,2554,1743,"hls,applehttp",30.0,h264,176x144,aac,12.051276922225952
"mov,mp4,m4a,3gp,3g2,mj2",143.035,29.97002997002997,h264,640x360,aac,52,1225,3008,"hls,applehttp",30.0,h264,640x480,aac,58.39333391189575
"mov,mp4,m4a,3gp,3g2,mj2",270.745,23.97442727757059,h264,1280x720,aac,55,3456,2977,"hls,applehttp",25.0,h264,480x360,aac,74.95167589187622
"mov,mp4,m4a,3gp,3g2,mj2",714.804,25.0,h264,640x480,aac,140,1566,16161,"hls,applehttp",24.0,h264,320x240,aac,159.7857871055603
"mov,mp4,m4a,3gp,3g2,mj2",33.669,30.0,h264,640x480,aac,9,504,492,"hls,applehttp",25.0,h264,320x240,aac,6.977330923080444
"mov,mp4,m4a,3gp,3g2,mj2",248.5,25.0,h264,1280x720,aac,132,2920,3158,"hls,applehttp",12.0,h264,480x360,aac,40.767231941223145
"mov,mp4,m4a,3gp,3g2,mj2",1082.166,30.0,h264,1920x1080,aac,218,20338,11872,"hls,applehttp",25.0,h264,640x480,aac,897.6139891147614
"mov,mp4,m4a,3gp,3g2,mj2",109.901,120.0,h264,640x480,aac,39,484,1126,"hls,applehttp",24.0,h264,480x360,aac,17.68254804611206
"mov,mp4,m4a,3gp,3g2,mj2",842.42,50.0,h264,1920x1080,aac,273,8519,33309,"hls,applehttp",25.0,h264,640x480,aac,804.261885881424
"mov,mp4,m4a,3gp,3g2,mj2",224.561,30.0,h264,640x480,aac,51,3415,3267,"hls,applehttp",25.0,h264,640x480,aac,46.61079216003418
"mov,mp4,m4a,3gp,3g2,mj2",239.12,25.0,h264,640x480,aac,89,402,5484,"hls,applehttp",25.0,h264,1920x1080,aac,201.5262291431427
"mov,mp4,m4a,3gp,3g2,mj2",47.369,30.0,h264,1280x720,aac,12,109,1298,"hls,applehttp",25.0,h264,320x240,aac,7.585063934326172
"mov,mp4,m4a,3gp,3g2,mj2",57.354,30.0,h264,1280x720,aac,13,1060,643,"hls,applehttp",12.0,h264,640x480,aac,16.695123195648193
"mov,mp4,m4a,3gp,3g2,mj2",136.046,15.0,h264,320x240,aac,30,0,2010,"hls,applehttp",12.0,h264,480x360,aac,39.9313600063324
"mov,mp4,m4a,3gp,3g2,mj2",231.039,29.97002997002997,h264,640x480,aac,47,3319,3554,"hls,applehttp",30.0,h264,640x480,aac,137.7652509212494
"mov,mp4,m4a,3gp,3g2,mj2",206.751,30.0,h264,270x480,aac,51,3433,2715,"hls,applehttp",24.0,h264,176x144,aac,24.625261068344116
"mov,mp4,m4a,3gp,3g2,mj2",198.879,15.0,h264,640x480,aac,41,1910,1030,"hls,applehttp",12.0,h264,640x480,aac,77.19661712646484
"mov,mp4,m4a,3gp,3g2,mj2",66.015,25.0,h264,1280x720,aac,28,478,1141,"hls,applehttp",25.0,h264,480x360,aac,17.899454832077026
"mov,mp4,m4a,3gp,3g2,mj2",275.343,29.97002997002997,h264,640x360,aac,57,4356,3837,"hls,applehttp",30.0,h264,320x240,aac,27.436704874038696
"mov,mp4,m4a,3gp,3g2,mj2",430.916,29.97002997002997,h264,854x480,aac,88,7769,5055,"hls,applehttp",30.0,h264,1280x720,aac,571.8906488418579
